id,name,dept,year,email,phone,hostel,category,pattern,gpa_base,scholarship,study_style,attendance_pct,ahi
STU036,Kalai Selvi P,IT,3,kalai@cit.ac.in,9876543235,False,OBC,consistent,9.0,True,consistent,86.9,81.4
STU037,Manoj Kumar R,IT,2,manoj@cit.ac.in,9876543236,True,General,at_risk,6.7,False,moderate,69.8,61.1
STU038,Sneha Lakshmi T,IT,3,sneha@cit.ac.in,9876543237,False,General,excellent,9.7,True,consistent,91.4,86.0
STU039,Bharath Kumar S,IT,4,bharath@cit.ac.in,9876543238,True,SC,critical,5.1,False,dropout_risk,47.3,45.2
STU040,Keerthana V,IT,2,keerthana@cit.ac.in,9876543239,False,OBC,moderate,7.6,False,moderate,77.4,67.6
STU041,Abishek Mohan N,IT,1,abishek@cit.ac.in,9876543240,True,OBC,at_risk,6.3,False,panicker,62.1,56.0
STU042,Ramya Priya K,IT,4,ramya@cit.ac.in,9876543241,False,General,good,8.6,False,consistent,88.1,76.3
STU043,Sugumar T,IT,3,sugumar@cit.ac.in,9876543242,True,SC,critical,4.6,False,dropout_risk,39.7,40.0
STU044,Nandini Krishnan R,AIDS,2,nandini@cit.ac.in,9876543243,False,General,excellent,9.3,True,consistent,91.8,84.6
STU045,Aakash Sundar V,AIDS,3,aakash@cit.ac.in,9876543244,True,OBC,moderate,7.5,False,moderate,72.6,65.1
STU046,Pooja Venkat S,AIDS,2,pooja@cit.ac.in,9876543245,False,General,consistent,8.9,True,consistent,88.6,81.7
STU047,Siva Kumar M,AIDS,4,siva@cit.ac.in,9876543246,True,SC,at_risk,5.8,False,panicker,52.7,50.2
STU048,Dharani Devi T,AIDS,3,dharani@cit.ac.in,9876543247,False,OBC,good,8.1,False,consistent,79.8,70.6
STU049,Balaji Raj N,AIDS,1,balaji@cit.ac.in,9876543248,True,OBC,at_risk,6.6,False,moderate,63.8,57.9
STU050,Ishwarya Lakshmi P,AIDS,2,ishwarya@cit.ac.in,9876543249,False,General,consistent,9.2,True,consistent,85.9,81.6
